CODIGO	NOMBRE	DIRECCIO	PROV	CAN	PARR	SOSTENIM	NIVEL
1059	BANCO ECUATORIANO DE LA VIVIENDA	URB.SAN CARLOS LUIS ROBALINO S/N	17	1	27	1	1
1060	6 DE ABRIL	SIN DIRECCION	4	1	54	1	1
1061	LEONARDO AULESTIA # 34	CUENCA # 4901 Y LA 23 AVA.	9	1	04	1	1
1064	AGUSTIN VERA LOOR # 42	LA 19 AVA. Y 4 DE NOVIEMBRE	9	1	04	1	1
1065	SANTA ROSA DEL TEJAR		10	1	04	1	1
1066	LOS RIOS	19 DE NOVIEMBRE Y QUITO	4	1	57	1	1
1067	CARLOTA JARAMILLO DE ARAUJO	SUPER MZ G MZ.13 CASA #7	17	1	20	1	1
1068	LUIS VARGAS TORRES # 51	BALZAR # 700 Y MALDONADO	9	1	04	1	1
1069	LUIS ALFREDO DAVILA	TULCAN S/N.	4	1	58	1	1
1071	SIN NOMBRE (LA CAMPIÑA)		10	1	04	1	1
1072	MARIA AUXILIADORA SALESIANAS	JUAN MONTALVO # 1107	4	1	53	4	1
1073	ERNESTO ALBAN MOSQUERA	SUPERMANZANA C. PARQUEDERO PRINCIPAL	17	1	20	1	1
1074	CALIXTO MIRANDA		10	1	51	1	1
1075	12 DE NOVIEMBRE	CALLE GARCIA MORENO	4	2	01	1	1
1076	MERCEDES VITERI LAFRONTE DE HURAS	LA PULIDA CALLE # 9 LOTE 84	17	1	27	1	1
1077	DARIO EGAS GRIJALVA	JUAN LEON MERA	4	2	51	1	1
1078	FILIBERTO LOPEZ AREVALO # 53	PEDRO PABLO GOMEZ Y LA 14 AVA.	9	1	04	1	1
1079	MAGDALENA DAVALOS	JUAN CLAMAVEA  S.N.	17	1	27	1	1
1080	JAIME VALENCIA	GARCIA MORENO	4	2	52	1	1
1081	MERCEDES MORENO IRIGOYEN # 54	LA 11 AVA. Y ARGENTINA	9	1	06	1	1
1083	ROSA BORJA ICAZA	COMITE DEL PUEBLO ZONA 12	17	1	24	1	1
1084	MARTHA BUCARAM DE ROLDOS		4	2	53	1	1
1085	ROBERTO ILLINGWORT ICAZA # 55	EL ORO # 335 Y LA 26 AVA.        355	9	1	04	1	1
1086	PRIMERO DE MAYO		4	2	55	1	1
1087	EUGENIO ESPEJO	PEDRO FREIRE PASAJE C	17	1	03	1	1
1088	MANUELITA SAENZ		4	2	55	1	1
1089	CORONEL LUCIANO CORAL # 56	SAN MARTIN # 4800 Y LA 24 AVA.	9	1	04	1	1
1090	MANUELA GARAICOA	JUAN MACHAIRE Y MIGUEL ALVARADO S/N	17	1	24	1	1
1091	18 DE NOVIEMBRE		4	2	53	1	1
1092	NICOLAS SEGOVIA # 60	SAN MARTIN Y LA 24 AVA.# 5800	9	1	04	1	1
1093	JIPIJAPA  # 62	CALLA 11 AVA. Y ARGENTINA	9	1	06	1	1
1094	GABRIELA MISTRAL	FRANCISCO MONTAÑO # 288	17	1	24	1	1
1095	SOC.BEN.SRAS.LIBANESAS SIRIAS #76	LA J Y LA 44 AVA.	9	1	04	1	1
1097	LUIS CLEMENTE DE LA VEGA		4	2	54	1	1
1098	EDUARDO FLORES TORRES # 78	LA 33 AVA. Y CALICUCHIMA	9	1	04	1	1
1101	OTHON CASTILLO VELEZ # 79	JULIO JARAMILLO Y LA J.	9	1	04	1	1
1102	MANUEL MARIA SANCHEZ	URB. LOS LAURELES MORTIÑOS E14-120	17	1	22	1	1
1103	CARLOS EMILIO GRIJALVA	SUCRE Y RIOFRIO	4	3	01	1	1
1105	ANITA DE ANDRADE MARIN	RICARDO JARAMILLO # 438 Y MARIANA ARBOLE	17	1	11	1	1
1107	GERMAN GRIJALVA	BARRIO SAN FRANCISCO	4	3	01	1	1
1110	ADOLFO H. SIMMONDS # 87	PORTETE Y LA 27 AVA.	9	1	04	1	1
1111	JUAN TANCA MARENGO # 88	ENRIQUE PALMA ALVARADO Y VENEZUELA	9	1	04	1	1
1112	ELISA ORTIZ DE AULESTIA	AV. LA FLORIDA Y MOTILONES S/N	17	1	27	1	1
1113	JORGE GUZMAN ARGUELLO # 89	"LA ""24"" Y LA ""P"":"	9	1	04	1	1
1115	FRANCISCO FALQUEZ AMPUERO # 90	DOMINGO COMIN # 223 Y CHAMBERS      Y CH	9	1	14	1	1
1116	MERCEDES GONZALEZ DE MOSCOSO	RODRIGO CEVALLOS S/N	17	1	05	1	1
1117	THOMAS JEFFERSON # 92	O'CONNOR Y LA 29 AVA Y LA 31	9	1	04	1	1
1118	ADELA PINARGOTE DE MURILLO	CARLOS FREILE # 2832 Y FCO. LOPEZ	17	1	05	1	1
1119	UNIDAD EDUCATIVA DEL SUR (T.S.E.C.P.P)	AV. AJAVI ESCALON	17	1	19	1	1
1120	PABLO HANNIBAL VELA # 226	FRANCISCO GODIN Y BOLIVIA	9	1	06	1	1
1122	ADAN RODRIGUEZ MOLINA # 100	LA B Y LA 42 AVA.	9	1	04	1	1
1123	NICOLAS GUILLEN	AV. SIMON BOLIVAR	17	1	25	1	1
1125	TRANSFIGURACION # 39	MALDONADO Y LA 33 AVA.	9	1	04	4	1
1126	ALVARO PEREZ INTRIAGO	MALDONADO	17	1	05	1	1
1127	JUAN FEDERICO HERBART	EL PLACER # 109	17	1	15	1	1
1129	POLICIA NACIONAL	PIO DURE Y ROSA YEIRA	17	1	19	5	1
1130	JILGUERITOS # 94	22 AVA. Y FRANCISCO SEGURA	9	1	04	5	1
1131	SANTA ANA # 120	G.MARTINEZ # 1713 Y F. DE MARCOS	9	1	06	5	1
1132	UNIDAD EDUCATIVA QUITO SUR	COPIGUE # 141 Y TEMUCO	17	1	11	1	1
1133	RONDA AZUL  # 121	JUAN PABLO II MZ. 408 SOLAR 7-8	9	1	12	5	1
1134	LAS ORQUIDEAS	ESCUDERO S/N	17	1	21	1	1
1136	FEDERICO GONZALEZ SUAREZ	MANUEL LUPERA	17	1	13	1	1
1138	HIDALGO ALBUJA	CESAR ARROYO # 128	17	1	13	5	1
1139	NUESTRA ESCUELA  #7	LA 40 AVA. Y LA C	9	1	04	2	1
1140	FORREST LA ROSS YODER # 1	LA 29 AVA. Y ORIENTE	9	1	04	2	1
1141	MARIA MONTESSORI	ROCAFUERTE # 737	17	1	15	1	1
1142	CAPULLITO DE AMOR # 178	CAP.NAJERA # 4118 Y LA 14 AVA.      4118	9	1	04	5	1
1143	ANA PAREDES DE ALFARO	ROCAFUERTE Y QUIROGA # 2477	17	1	15	1	1
1144	COLEGIO MILITAR N°10 ABDON CALDERON	ANGEL P. CHAVEZ 103	17	1	15	5	1
1145	BRASIL		4	3	02	1	1
1147	SOMOS AMIGOS TRABAJANDO	ISIDRO AYORA	4	3	52	1	1
1149	EUCLIDES MUÑOZ		10	1	51	1	1
1150	TOBIAS TAMAYO GALARRAGA		4	3	52	1	1
1151	SAN FRANCISCO DE SALES	9 DE OCTUBRE  (FAX 974038)	4	3	53	4	1
1152	LORGIO CARRASCO MERA	CALLE RICARDO RUALES	4	4	01	1	1
1153	SIN NOMBRE (CARPUELA)		10	1	51	1	1
1154	INTI RAYMI (SAN ROQUE)	AYMERICH Y AGOYAN	17	1	15	1	1
1155	13 DE ABRIL		4	4	01	1	1
1156	CARITAS ALEGRES		4	4	01	1	1
1157	AURELIO ESPINOSA POLIT	GUAYAQUIL # 1611 Y CALDAS	17	1	15	1	1
1158	IMBABURA		4	4	51	1	1
1159	JAIME ROLDOS AGUILERA		10	1	54	1	1
1160	GENARO FIERRO	HAITI OE-7-59 Y NUEVA YORK	17	1	15	1	1
1161	JUAN LEON MERA		4	4	51	1	1
1163	PATRICIO ROMERO BARBERIS	GARCIA JOFRE DE LOAIZA-NICOLAS DE LA PE	17	1	19	1	1
1165	GRUPO DE C.#.36 YAGUACHI (INDIGENA)		10	1	54	1	1
1166	MIS PRIMEROS TRAZOS # 228	PORTETE # 5252 Y LA 26 AVA.         5252	9	1	04	5	1
1167	GONZALO OLEAS ZAMBRANO	9 DE ENERO S\N	4	4	53	1	1
1168	PRIMERO DE MAYO	PASAJE MANZANA 39 EL CALZADO	17	1	19	1	1
1169	MANUEL J. BASTIDAS	CALLE PICHINCHA	4	5	02	1	1
1170	PLAZA PALLARES		10	1	52	1	1
1172	PEDRO RAFAEL MENCIAS AUZ	BARRIO SAN GABRIEL	4	5	02	1	1
1175	FERNANDO POZO GUERRERO	MONTUFAR Y ANGEL POLIVIO CHAVEZ	4	5	02	1	1
1176	CAMILO GALLEGOS DOMINGUEZ		4	5	01	1	1
1177	JUAN MONTALVO	UBILLUS	17	1	76	5	1
1180	ECUADOR		4	5	02	1	1
1181	6 DE MAYO	CALLE CARCHI	4	5	51	1	1
1182	LUZ DE UN NUEVO AMANECER	LUIS ROJAS	4	5	55	1	1
1184	JUAN EVANGELISTA NARVAEZ	CALLE ANTONIO NARVAEZ S/N	4	5	54	1	1
1185	CASA DE LA CULTURA		10	1	55	1	1
1186	JUAN DE SALINAS	AVDA. 5 DE JULIO S/N	10	1	56	1	1
1187	SAN ANTONIO	LUIS ENRIQUE CEVALLOS S/N	10	1	57	1	1
1188	SIN NOMBRE (STO. DOMINGO)		10	1	57	1	1
1189	SANTA MARIANITA DE JESUS	CALICUCHIMA 121 Y AVDA. ATAHUALPA	10	1	01	4	1
1190	MADRE TERESA BACQ	AVDA EL RETORNO S/N	10	1	01	4	1
1192	IBARRA	AV. 17 DE JULIO Y AV. AURELIO ESPINOSA	10	1	03	5	1
1194	SANTA TERESITA DEL NIÑO JESUS	JUAN JOSE FLORES Y JUAN MONTALVO	10	1	03	4	1
1195	RAFAEL CARVAJAL (4 DE JULIO)	AV. UGENIO ESPEJO Y RICARDO SANCHEZ	10	1	04	4	1
1196	LA INMACULADA CONCEPCION	IBARRA - SAN FRCO. (PEDRO MONCAYO 545)	10	1	04	4	1
1197	LIDIA SEVILLA LEON	SUCRE 6-59	10	1	03	5	1
1198	SAGRADO CORAZON DE JESUS	LOS GALEANOS 3-17 - EL EJIDO	10	1	04	4	1
1200	LUIS LEON RUALES (LA SALLE)	CRISTOBAL COLON 6-36 Y SUCRE	10	1	04	4	1
1201	AMBUQUI		10	1	51	1	1
1202	JEAN PIAGET	JUAN MONTALVO 10-212	10	1	04	5	1
1203	JOSE MARIA VELASCO IBARRA	JUAN DE VELASCO S/N	10	2	02	1	1
1204	BRUNO VINUEZA PAEZ	JUNIN S/N	10	2	01	1	1
1205	JUAN JOSE FLORES	OBISPO MOSQUERA S/N	10	2	53	1	1
1206	NATABUELA	25 DE SEPTIEMBRE	10	2	52	1	1
1207	SAN ROQUE	MODESTO LARREA Y ABDON CALDERON	10	2	54	1	1
1208	SANTA LUISA DE MARILLAC	AVDA. GENERAL ENRIQUEZ S/N	10	2	02	4	1
1209	JUAN FRANCISCO CEVALLOS	10 DE AGOSTO Y ROCAFUERTE 1206	10	3	01	1	1
1210	DR. TRAJANO NARANJO		10	3	01	1	1
1211	CHARLES DARWIN		10	3	51	1	1
1212	RUBEN JARAMILLO	JOSE JOAQUIN DE OLMEDO	10	3	53	1	1
1213	MANUELITA SAENZ		10	3	52	1	1
1214	SIN NOMBRE (PEÑAHERRERA)		10	3	54	1	1
1215	28 DE JUNIO	VACAS GALINDO S/N	10	3	56	1	1
1216	HORTENCIA YEPEZ TOBAR	LARREA S/N	10	3	02	1	1
1217	ELOISA ALVAREZ DE AYALA		10	3	57	1	1
1218	SANTISIMO SACRAMENTO	GONZALEZ SUAREZ S/N	10	3	02	4	1
1219	31 DE OCTUBRE	MODESTO JARAMILLO 401 Y ABDON CALDERON	10	4	01	1	1
1220	CARLOS ALFONSO CISNEROS P.(INDIGENA)		10	4	51	1	1
1221	BENJAMIN CARRION	SEBASTIAN MANRIQUE - IMBAYA	10	4	01	1	1
1222	JAIME BURBANO ALOMIA	MARIANO SUAREZ VEINTIMILLA S/N	10	4	02	1	1
1223	VICTOR ALEJANDRO JARAMILLO	SUCRE Y CARLOS JARA	10	4	55	1	1
1225	SIN NOMBRE (AGATO) (INDIGENA)		10	4	51	1	1
1226	NOHEMI MURIEL (INDIGENA)		10	4	52	1	1
1227	24 DE MARZO		10	4	53	1	1
1228	FEDERICO GONZALEZ SUAREZ (INDIGENA)		10	4	53	1	1
1229	U. EDUCATIVA PROVINCIA DE LOJA (INDIGENA		10	4	53	1	1
1230	PEGUCHE (INDIGENA)		10	4	51	1	1
1231	12 DE NOVIEMBRE (INDIGENA)		10	4	56	1	1
1232	ALFREDO PEREZ GUERRERO	IBARRA Y AVDA. UNESCO	10	4	57	1	1
1233	SIMON BOLIVAR		10	4	59	1	1
1234	CIUDAD DE OTAVALO	CDLA JACINTO COLLAHUAZO	10	4	02	5	1
1235	PRINCESA TOA	GRAN COLOMBIA S/N	10	4	58	1	1
1237	CLELIA VEGA VACA	PARQUE CENTRAL	17	1	51	1	1
1238	GABRIEL PINO ROCA # 40	ESMERALDAS Y ARGENTINA.	9	1	05	1	1
1240	PRIMAVERA (INDIGENA)		10	4	55	1	1
1241	ABRAHAM LINCOLN  # 46	MACHALA Y COLOMBIA	9	1	05	1	1
1243	OVIDIO DECROLY (ALANGASI)	EUGENIO ESPEJO  # 390	17	1	51	1	1
1244	26 DE MAYO	AMAZONAS S/N	10	5	01	1	1
1245	JOSE BAQUERIZO MALDONADO # 48	ROSENDO AVILES Y ESMERALDAS	9	1	05	1	1
1246	INGAPIRCA		10	5	52	1	1
1248	JULIO REYES GONZALEZ # 65	MACHALA Y EL ORO	9	1	05	1	1
1249	MANUELA CAÑIZARES	DOMINGO ESPINAR N27-58 Y SELVA ALEGRE	17	1	18	1	1
1251	LA DOLOROSA DEL COLEGIO	GARCIA MORENO 1-121	10	5	01	4	1
1252	SANTIAGO DE GUAYAQUIL # 66	MACHALA Y EL ORO	9	1	05	1	1
1254	29 DE MAYO	AVDA CARCHI Y 12 DE OCTUBRE	10	6	51	1	1
1255	CLUB DE LEONES # 93	TULCAN Y MALDONADO	9	1	05	1	1
1256	PABLO ARENAS		10	6	53	1	1
1257	QUITO # 95	COOP. MANUELA CAÑIZAREZ	9	1	12	1	1
1258	JUAN JACOBO ROUSSEAU	REDIN  S/N	17	1	55	1	1
1259	TUMBABIRO		10	6	55	1	1
1260	LEONIDAS GARCIA ORTIZ  # 11	ISLA TRINITARIA COOP. NACIONES UNIDAS	9	1	14	1	1
1261	ALFREDO CISNEROS	SAN MIGUEL DEL COMUN	17	1	55	1	1
1262	ALBERTO AMADOR		10	6	54	1	1
1264	IRUGUINCHO		10	6	54	1	1
1265	ELEONORA NEWMAN	CUMBA Y FRANCISCO ORELLANA S/N	17	1	57	1	1
1268	PIO JARAMILLO ALVARADO (CUMBAYA)	CAMINO A LUMBISI	17	1	57	1	1
1269	OLFA DE BUCARAM # 35	BOLIVIA ENTRE LA 13 Y LA 14 AVA.	9	1	06	1	1
1270	DR.CAMILO PONCE ENRIQUEZ	QUITO # 750	17	1	59	1	1
1271	ELOY ALFARO  # 37	G.RENDON # 3403 Y AV. OCTAVA	9	1	04	1	1
1273	ALFREDO BAQUERIZO MORENO # 39	LIZARDO GARCIA # 4004 Y LA A     Y LA A	9	1	06	1	1
1274	JACOBO BUCARAM E. # 41	LA 19 AVA. Y C.GUEVARA MORENO    CARLOS	9	1	04	1	1
1276	ESPERANZA CAPUTI OLVERA # 49	L.GARCIA #   Y C.DESTRUGE	9	1	06	1	1
1278	JUAN MARIA MARTINEZ COELLO # 50	LA 11 AVA. Y CRISTOBAL COLON	9	1	06	1	1
1280	PEDRO J. MENENDEZ NAVARRO # 67	BOLIVIA Y GALLEGOS LARA	9	1	06	1	1
1281	SOR MARIA XAVIER	AV.PRINCIPAL	17	7	51	2	1
1282	MAURA VERA DE MAQUILON  # 72	L.GARCIA Y C.DESTRUGE	9	1	06	1	1
1285	JOSE REYES ROSERO	GONZALEZ SUAREZ S/N	10	6	01	1	1
1286	HIPATIA CARDENAS DE BUSTAMANTE	ESPAÑA S/N	17	1	72	1	1
1287	ALFREDO ALBUJA GALINDO	FRAY BARTOLOME DE LAS CASAS	10	1	04	3	1
1290	CARLOS JULIO AROSEMENA TOLA # 84	GUERRERO VALENZUELA Y SAN MARTIN	9	1	06	1	1
1291	ISAAC NEWTON ( PIFO )	FRANCISCO DE ORELLANA S.N	17	1	75	1	1
1292	LOS OVALOS		10	2	52	1	1
1295	JULIO HIDALGO	ANTIZANA S.N	17	1	76	1	1
1296	MERCEDES MORLA FLOR # 25	NICOLAS SEGOVIA Y LA D	9	1	06	4	1
1297	MANUEL CORDOVA GALARZA	AVENIDA 24 DE MAYO S.N	17	1	77	1	1
1299	LA PRESENTACION # 89	LEONIDAS PLAZA Y BOLIVIA	9	1	06	4	1
1301	CASITA DE VERANO # 179	TUNGURAHUA # 2512 Y C.NAJERA	9	1	11	5	1
1302	MANGAHUANTAG	CAMINO MANGAHUANTAG	17	1	79	1	1
1305	PEDRO JOSE HUERTA # 31	LUQUE # 2201 Y TUNGURAHUA          2101	9	1	07	1	1
1306	UNIDAD EDUCATIVA MITAD DEL MUNDO	21 DE MARZO S.N	17	1	80	1	1
1309	ELIO GOMEZ V.	URB. VIRGEN DEL CISNE	17	6	06	5	1
1310	CAYETANO TARRUEL # 26	CARCHI 1324 Y CLEMENTE BALLEN    1324	9	1	07	4	1
1311	ALBORADA # 51	10 AGOSTO Y LOS RIOS       2001	9	1	07	5	1
1312	LUZ AURORA # 95	GIRADOT Y AV. DELTA        10	9	1	12	5	1
1314	MUNDO HISPANO # 157	QUISQUIS Y JOSE MASCOTE    1109	9	1	07	5	1
1316	LEON DE FEBRES CORDERO  # 26	CDLA. SIMON BOLIVAR MZ. 4	9	1	12	1	1
1317	PEDRO VICENTE MALDONADO # 27	CORONEL # 904 Y MALDONADO	9	1	01	1	1
1318	REY DAVID # 196	XIMENA Y PADRE SOLANO      421	9	1	09	4	1
1319	TRAZOS Y LETRAS # 147	COOP.DEL CONDOR,FLOR DE BASTION	9	1	12	5	1
1320	ADOLFO FASSIO # 36	CUENCA Y LOS RIOS	9	1	11	1	1
1321	ZOILA ESPERANZA CRESPO # 86	CUENCA Y LOS RIOS	9	1	11	1	1
1322	LICEO ESPAÑOL  # 15	GARCIA MORENO Y BRASIL     2608	9	1	11	5	1
1323	AMIGO DE LOS NIÑOS # 406	EL ORO ENTRE LA 34 Y 35    5510	9	1	04	5	1
1324	INSTITUTO BILINGUE GUAYAQUIL # 44	FEBRES CORDERO Y MACHALA   1512	9	1	11	5	1
1325	ROSARIO SANCHEZ BRUNO # 55	ESMERALDAS Y HUANCAVILCA   1917	9	1	11	4	1
1326	NIÑO FELIZ # 67	CARCHI Y ALCEDO            1634	9	1	11	5	1
1327	PRIMAVERA # 110	MACHALA 101 Y 4 DE NOVIEMBRE      101	9	1	11	5	1
1328	COLORIN EN UN MUNDO DE FANT.# 189	G.MORENO # 3010 Y F.DE MARCOS	9	1	05	5	1
1330	PRIMICIAS # 234	HUANCAVILCA Y JOSE MASCOTE 1908	9	1	11	5	1
1331	COLOMBIA ALFARO DE HUERTA # 5	CDLA.ATARAZANA,FRENTE A MZ. P 5   AM MZ.	9	1	12	1	1
1332	VIRGINIA LARENAS	JUAN MONTALVO Y GUAYAQUIL ESQ.	17	1	84	1	1
1333	LOLA TAMAYO ORTEGA  # 8	CDLA. MARTHA BUCARAM DE ROLDOS	9	1	12	1	1
1334	CLEMENTINA TRIVIÑO DE UNDA # 12	CDLA. SAUCES III	9	1	12	1	1
1335	YOLANDA MEDINA MENA	ISIDRO AYORA Y ESPEJO S.N	17	1	85	1	1
1336	MAGDALENA C.DE D.ARCENTALES # 22	CDLA.B.E.V MAPASINGUE	9	1	12	1	1
1337	PEDRO LUIS CALERO	LOS OLIVOS E-14-135 Y NOGALES	17	1	24	4	1
1338	GABRIELA MISTRAL # 23	URDESA:C.L.PLAZA DAÑIN Y ALBATROS	9	1	12	1	1
1339	SANDRO PERTINI  # 25	CDLA. SAUCES 1 ZONA COMUNAL	9	1	12	1	1
1341	FRANCISCO DE ICAZA BUSTAM. # 32	PIEDRAHITA Y LOS RIOS	9	1	12	1	1
1342	ILSE CALDERON VON BUCHWALD # 33	CDLA.FERROV.CALLE 6TA.Y AV.4TA.	9	1	12	1	1
1343	MARTIN GONZALEZ	HUMBERTO FIERRO Y CHILE	17	2	02	1	1
1344	HERMANO MIGUEL # 44	5 DE JUNIO Y LA E	9	1	14	1	1
1345	ENRIQUE GRAU RUIZ # 57	URDESA NORTE AV. 3ERA. Y LA 2DA.	9	1	12	1	1
1346	PATRONATO DEL NIÑO (CAYAMBE)	ROCAFUERTE Y 23 DE JULIO	17	2	02	1	1
1347	ROSA ABIGAIL JARRIN DE JARRIN	PICHINCHA E ISIDRO AYORA	17	2	53	1	1
1348	CARLOS CUEVA TAMARIZ (CAYAMBE)	VARGAS 231 Y JUAN MONTALVO	17	2	02	1	1
1350	ANA CARVAJAL DE DURAN	AV. DEL EJERCITO Y GALO DURAN	17	2	01	1	1
1351	JUANA DE IBARBOROU	OLMEDO 1528 Y PICHINCHA	17	2	02	1	1
1352	ESPAÑA # 70	ANTEPARA # 201 Y PIEDRAHITA         201	9	1	12	1	1
1354	EMMA ESPERANZA ORTIZ BERMEO # 71	CDLA. SAUCES VI MZ.259	9	1	12	1	1
1355	JOSE ANTONIO GALLEGOS OROZCO # 74	CDLA. SAUCES II CENTRO COMUNAL	9	1	12	1	1
1357	ZOILA RENDON DE MOSQUERA	SUCRE Y QUIROGA S/N	17	2	52	1	1
1358	MARIA ESTHER WITHER NAVARRO # 83	PROSPERINA: 4TA # 2001 Y AV.3RA.	9	1	12	1	1
1359	CRECER ALANGASI	JUAN LEON MERA Y SUCRE	17	1	51	5	1
1360	JUAN GUTENBERG	JOSE MEJIA 397	17	3	01	1	1
1361	MERCEDES MARTINEZ ACOSTA	THOMAS PAZMINIO	17	3	51	1	1
1362	ENRIQUE VALLEJO VIVANCO # 85	MAPASG.E.COOP.ANTONIO A.FAJARDO	9	1	12	1	1
1363	ESTADO DEL CANADA # 98	LAS PROSPERINA	9	1	12	1	1
1364	BETHSABE CASTILLO DE CASTILLO # 9	PIEDRAHITA # 1500 Y ESMERALDAS	9	1	12	1	1
1366	NIÑO DE PRAGA # 3	CDLA. LOS CEIBOS,AV.C.ARROYO 707	9	1	12	5	1
1367	AMERICANO  # 5	AV.JUAN TANCA MARENGO	9	1	12	5	1
1368	EL GIRASOL # 8	URDESA.LA 4TA. 409 Y DATILES	9	1	12	5	1
1370	ALEMAN HUMBOLDT # 12	CEIBOS: CALLE 1RA.# 216 Y AV. 2	9	1	12	5	1
1372	EL FAROLITO  # 16	AV.C.J.AROSEMENA 'CDLA.COGRA	9	1	12	5	1
1373	NUESTRA MADRE DE LA MERCED # 17	AV. KENNEDY ENTRE LA F Y LA 2DA.	9	1	12	4	1
1374	MUNDO DE LOS NIÑOS # 22	CDLA. BRISAS DEL RIO: MZ.G S.9    SOLAR	9	1	12	5	1
1377	NUEVA ALBORADA  # 29	CDLA.ALBORADA,B.CARRION E.I.AYORA	9	1	12	5	1
